,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Borgharen"
1951-03-29,,,,,,,,,,,,12.5,912.0
1951-04-12,,,,,,,,,,,,12.8,782.0
1951-11-28,,,,,,,,,,,,9.21,813.0
1952-01-04,,,,,,,,,,,,17.9,1441.0
1952-01-13,,,,,,,,,,,,18.0,1658.0
1952-02-13,,,,,,,,,,,,21.3,1468.0
1952-03-31,,,,,,,,,,,,11.1,836.0
1952-11-09,,,,,,,,,,,,10.5,1100.0
1952-12-22,,,,,,,,,,,,20.6,1883.0
1953-02-12,,,,,,,,,,,,21.8,882.0
1955-01-19,,,,,,,,,,,,21.6,1388.0
1955-02-07,,,,,,,,,,,,21.9,853.0
1956-01-03,,,,,,,,,,,,9.42,953.0
1956-01-31,,,,,,,,,,,,14.4,776.0
1956-03-05,,,,,,,,,,,,19.0,1858.0
1957-02-16,,,,,,,,,,,,21.6,1450.0
1957-02-27,,,,,,,,,,,,23.2,1388.0
1957-09-28,,,,,,,,,,,,17.3,918.0
1958-01-12,,,,,,,,,,,,19.1,1047.0
1958-02-15,,,,,,,,,,,,12.4,1179.0
1958-02-27,,,,,,,,,,,,21.7,1978.0
1958-12-23,,,,,,,,,,,,13.7,956.0
1959-01-09,,,,,,,,,,,,20.5,1282.0
1959-01-24,,,,,,,,,,,,17.5,794.0
1960-09-22,,,,,,,,,,,,10.5,817.0
1960-11-06,,,,,,,,,,,,19.9,1100.0
1960-12-06,,,,,,,,,,,,42.1,1628.0
1961-01-12,,,,,,,,,,,,20.7,1083.0
1961-02-01,,,,,,,,,,,,25.3,2153.0
1961-12-04,,,,,,,,,,,,22.8,1180.0
1961-12-14,,,,,,,,,,,,21.3,988.0
1962-01-14,,,,,,,,,,,,16.2,877.0
1962-01-27,,,,,,,,,,,,15.5,860.0
1962-02-14,,,,,,,,,,,,21.8,1673.0
1962-04-08,,,,,,,,,,,,23.0,1228.0
1962-12-18,,,,,,,,,,,,14.0,1083.0
1963-11-23,,,,,,,,,,,,12.1,1558.0
1964-11-18,,,,,,,,,,,,9.82,1176.0
1965-01-11,,,,,,,,,,,,18.3,1321.0
1965-01-19,,,,,,,,,,,,17.5,1272.0
1965-03-28,,,,,,,,,,,,10.4,777.0
1965-04-21,,,,,,,,,,,,10.4,891.0
1965-05-08,,,,,,,,,,,,14.0,793.0
1965-12-12,,,,,,,,,,,,25.9,1875.0
1965-12-22,,,,,,,,,,,,27.9,1920.0
1966-01-04,,,,,,,,,,,,29.9,1721.0
1966-02-13,,,,,,,,,,,,27.4,1131.0
1966-03-31,,,,,,,,,,,,22.2,763.0
1966-04-22,,,,,,,,,,,,23.5,1312.0
1966-10-27,,,,,,,,,,,,13.4,974.0
1966-12-04,,,,,,,,,,,,19.3,942.0
1966-12-15,,,,,,,,,,,,33.3,1977.0
1967-01-01,,,,,,,,,,,,28.3,1349.0
1967-02-22,,,,,,,,,,,,16.1,776.0
1967-12-26,,,,,,,,,,,,18.9,1617.0
1968-01-08,,,107.86,,131.74,,,,,,,22.5,1071.0
1968-01-16,,,121.52,,152.19,,,,,,,26.6,1401.0
1969-02-23,,,84.26,,43.79,,,,,,,18.5,766.0
1970-02-10,,,151.44,,167.52,,,,15.207,40.268,,13.7,1231.0
1970-02-23,,,178.0,,227.62,,,,59.401,103.421,,29.7,2202.0
1970-03-21,,,96.28,,113.8,,,,14.678,65.631,,14.6,953.0
1970-05-14,,,150.44,,130.68,,,,8.006,47.476,,12.7,895.0
1971-01-29,,,101.1,,174.02,,,,,30.097,,14.2,976.0
1972-11-22,,,119.96,,110.14,,,,7.806,21.976,,5.84,1028.0
1973-02-14,,,84.07,,138.66,,,,25.801,35.716,,7.8,845.0
1974-02-11,,,83.79,124.01,100.5,,,,15.813,48.39,,15.8,866.0
1974-10-26,,,115.96,173.91,107.92,,,,,68.787,,11.8,1050.0
1974-12-03,,,92.75,148.05,97.41,,,,,80.996,,19.6,954.0
1974-12-20,,,125.72,188.56,175.61,,,,,76.83,,20.2,1292.0
1975-01-01,,,72.9,112.86,105.77,,,,,89.457,,22.4,934.0
1975-01-30,,,91.16,57.89,177.19,,,,9.251,33.176,,17.7,1065.0
1975-03-30,,,104.92,50.92,111.35,,,,13.746,44.491,,15.8,969.0
1977-01-28,,,65.64,79.7,229.79,,,,2.689,14.916,,5.73,794.0
1977-02-22,,,131.2,93.69,225.39,,,,,28.866,,8.0,1237.0
1978-02-03,,,115.74,62.0,116.1,,,,7.78,30.266,,9.8,977.0
1978-03-30,,,87.4,101.33,122.32,,,,10.706,50.147,,12.1,1082.0
1978-05-09,,,89.04,41.25,60.05,,,,11.522,38.091,,8.17,773.0
1979-01-01,,,108.01,100.59,263.4,,,,6.108,29.495,,13.0,1032.0
1979-02-03,,,101.72,72.13,102.92,,,,22.742,47.343,,16.1,961.0
1979-02-15,,,90.21,66.55,150.4,,,,10.612,33.767,,15.7,992.0
1979-03-13,,,120.72,163.1,165.16,,,,21.669,68.059,,21.5,1252.0
1979-03-30,,,94.95,53.2,164.79,,,,8.967,39.421,,18.2,983.0
1979-12-13,,,100.4,185.69,334.87,,,,23.444,75.874,,13.7,1471.0
1980-02-06,,,127.8,113.66,209.01,,,,13.494,78.156,,29.7,1477.0
1980-07-11,,,89.21,179.0,80.27,,,,17.537,83.061,,7.68,1008.0
1980-07-22,,,377.37,283.73,119.04,,,,33.104,110.785,,15.1,2037.0
1980-12-16,,,107.59,168.54,146.8,,,,14.473,63.516,,13.1,1009.0
1981-01-04,,,90.67,166.34,83.79,,,,27.396,97.689,,19.5,1030.0
1981-01-16,,,129.69,102.0,93.74,,,,30.767,101.727,,24.6,1198.0
1981-02-05,,,70.38,91.32,91.55,,,,12.31,42.026,,14.4,813.0
1981-03-12,,,100.73,107.86,179.83,,,,22.735,84.857,,27.1,1297.0
1981-10-22,,,74.44,69.78,108.4,,,,13.425,38.185,,10.1,847.0
1981-12-02,,,127.12,244.96,94.84,,,,34.732,101.032,,16.3,1144.0
1981-12-10,,,126.46,147.1,145.24,,,,26.094,103.544,,18.9,1283.0
1982-01-02,,,124.39,98.2,241.02,,,,13.125,69.922,,18.4,1368.0
1982-01-31,,,54.76,99.32,78.52,,,,16.767,58.281,,17.7,811.0
1982-12-23,,,87.9,80.42,175.65,,,,15.245,65.94,,11.1,1113.0
1983-01-16,,,78.46,105.74,80.97,,,,11.764,60.21,,14.0,928.0
1983-02-02,,,99.03,108.82,138.71,,,,13.103,53.671,,19.7,1108.0
1983-03-28,,,69.75,63.26,67.74,,,,15.877,63.497,,14.8,854.0
1983-04-17,,,63.84,75.6,163.25,,,,6.89,58.465,,12.6,1026.0
1983-05-28,,,157.13,138.56,98.12,,,,35.843,129.321,,25.0,1034.0
1984-01-18,,,130.97,118.73,281.37,,,,17.763,52.714,,14.1,1350.0
1984-02-08,,,228.06,368.79,344.37,,,,43.913,117.029,,29.9,2509.0
1984-11-24,,,215.14,217.34,210.55,,,,23.514,69.804,,20.3,1613.0
1985-01-27,,,80.42,43.74,239.7,,,,25.136,62.099,,20.7,828.0
1985-03-29,,,94.69,61.95,86.07,,,,10.891,34.075,,12.4,847.0
1985-04-16,,,92.67,74.42,97.12,,,,14.089,45.038,,14.7,901.0
1986-01-25,,,116.87,188.78,197.84,,,,32.197,78.827,,28.1,1203.0
1986-04-02,,,159.31,162.18,236.01,,,,27.0,72.396,,23.0,1716.0
1986-12-21,,,54.96,49.24,135.61,,,,7.578,30.358,,11.2,790.0
1987-01-03,,,155.59,194.69,208.21,,387.05,,33.429,110.816,,24.9,1581.0
1987-03-04,,,91.17,134.04,87.4,,314.82,,45.056,116.499,,20.5,1200.0
1987-03-27,,,80.15,124.95,162.12,,250.42,,24.229,68.693,,21.2,1223.0
1987-10-18,,,151.36,50.12,212.22,,123.47,,5.909,40.348,,11.0,1063.0
1987-11-24,,,90.53,87.76,94.34,,204.25,,12.235,58.528,,17.0,796.0
1988-02-12,,,105.76,65.6,171.09,111.07,172.84,,10.571,42.933,,17.8,1271.0
1988-03-17,,,210.02,274.44,191.82,306.66,608.56,,33.838,122.52,,19.4,1858.0
1988-03-27,,,104.54,122.1,126.06,120.28,263.07,,10.831,125.863,,24.4,1200.0
1988-12-06,,,159.51,107.32,209.06,129.82,218.4,,23.782,52.771,,12.0,1237.0
1989-03-10,,,95.87,83.32,144.34,89.5,165.95,,4.601,39.591,,15.7,900.0
1989-04-16,,,129.71,74.28,101.55,115.02,188.99,,19.886,62.369,,14.1,967.0
1989-04-28,,,129.04,74.79,71.09,114.5,207.6,,27.932,93.183,,17.2,1039.0
1989-12-24,,,143.02,117.8,197.61,125.96,266.8,,,51.776,,9.66,1176.0
1990-01-26,,657.47,84.24,76.44,204.74,72.33,146.18,,18.6,49.861,452.73,10.8,1020.0
1990-02-16,,790.54,201.47,113.41,193.35,172.93,259.36,,19.253,53.338,597.1899999999999,13.5,1471.0
1990-03-02,,589.24,92.65,121.33,142.32,100.19,212.3,,13.433,58.696,446.92,17.3,1029.0
1991-01-05,,1131.33,188.45,146.63,343.05,186.26,315.12,,22.544,82.227,788.28,15.1,1812.0
1991-12-24,,568.88,169.0,374.8,160.79,330.5,679.98,,27.025,109.694,408.09000000000003,13.9,1597.0
1992-03-14,96.02,381.54,74.27,144.0,108.05,88.15,242.38,,14.221,49.452,273.49,10.5,805.0
1992-12-05,32.53,731.48,150.1,68.79,187.72,107.64,173.75,,11.44,49.121,543.76,10.4,1229.0
1993-01-13,178.11,1116.72,344.66,218.23,472.68,269.16,429.39,,30.622,104.88,644.04,17.9,2347.0
1993-12-23,140.06,1527.59,390.8,297.29,554.16,432.99,741.09,,26.611,119.156,973.43,23.1,3080.0
1994-01-07,131.07,1013.91,167.29,142.84,294.44,161.45,303.4,,21.896,109.569,719.47,30.6,1610.0
1994-01-28,61.24,464.71,86.06,100.42,101.33,115.89,219.48,,11.195,72.298,363.38,22.3,899.0
1994-03-21,111.56,426.33,79.06,116.91,93.53,109.18,231.79,,3.667,71.096,332.79999999999995,24.3,857.0
1994-04-11,53.66,515.15,101.52,81.88,123.81,103.99,171.27,,8.85,60.599,391.34,23.2,1027.0
1994-12-31,117.82,798.61,142.02,127.88,237.69,156.61,288.04,,27.003,66.123,560.9200000000001,13.7,1354.0
1995-01-12,78.53,464.18,128.88,149.66,87.62,157.13,283.75,,18.137,61.283,376.56,14.3,1039.0
1995-01-31,132.92,1559.54,295.12,241.59,424.33,338.21,552.21,,31.992,105.68,1135.21,38.2,2855.0
1995-02-21,39.69,753.5,103.33,72.37,200.42,108.68,184.38,,12.31,54.199,553.08,24.4,1226.0
1995-12-26,37.65,409.4,104.18,58.45,131.48,96.94,145.7,,9.022,32.328,277.91999999999996,8.76,751.0
1996-11-21,24.24,423.86,78.49,37.69,93.73,56.99,92.23,,6.631,29.094,330.13,7.7,764.0
1996-12-06,30.41,494.0,60.18,61.44,139.95,65.03,124.07,,11.05,36.88,354.05,15.7,829.0
1997-02-14,54.13,448.74,99.79,79.39,98.53,100.81,187.31,,26.983,61.212,350.21000000000004,13.3,1059.0
1997-02-26,41.7,656.94,133.29,74.04,234.08,109.94,182.08,,11.553,40.689,422.86,13.7,1184.0
1998-01-06,29.78,583.41,117.96,70.48,183.02,103.22,182.18,,7.192,39.548,400.39,10.1,1054.0
1998-01-21,20.83,485.73,55.26,46.52,117.02,63.39,112.75,,6.976,26.674,368.71000000000004,7.46,802.0
1998-03-10,45.51,332.8,65.03,75.1,88.05,101.37,188.97,,17.038,46.405,244.75,13.3,770.0
1998-04-09,49.71,555.61,113.48,63.26,107.29,90.38,172.49,,10.907,39.158,448.32,13.0,1083.0
1998-11-03,129.35,860.42,159.61,249.05,291.94,212.26,405.71,,32.786,95.788,568.48,36.5,1593.0
1998-12-15,75.52,385.63,94.56,146.94,118.55,142.49,258.16,,9.757,39.237,267.08,15.5,893.0
1998-12-29,22.34,487.96,54.62,47.86,143.75,65.89,112.3,,7.423,50.344,344.21,13.5,802.0
1999-01-10,36.53,354.13,54.09,45.6,99.49,68.67,122.63,,18.36,55.393,254.64,17.6,811.0
1999-01-18,33.22,464.44,62.54,53.26,102.68,66.84,124.15,,8.833,39.135,361.76,17.5,876.0
1999-01-29,84.02,418.5,91.22,111.89,90.41,117.5,226.1,,15.922,71.36,328.09000000000003,17.2,1064.0
1999-02-22,131.12,516.28,141.64,178.49,106.97,194.22,357.26,,20.415,84.703,409.30999999999995,23.6,1282.0
1999-03-04,124.56,662.3,102.83,191.72,157.54,196.18,385.1,,21.83,84.315,504.76,28.6,1406.0
1999-12-15,63.63,838.65,146.06,105.49,316.04,160.19,269.12,,22.116,52.84,522.6099999999999,12.8,1377.0
1999-12-28,75.05,996.76,234.36,136.44,228.9,194.54,357.4,,17.828,72.798,767.86,18.3,2029.0
2000-01-31,80.84,400.08,56.09,108.07,84.88,85.95,221.06,,23.387,57.75,315.2,12.8,869.0
2000-02-20,43.44,509.8,80.31,65.87,107.15,101.82,182.72,,12.914,43.682,402.65,13.8,931.0
2000-03-04,83.09,517.97,120.35,103.83,139.16,138.68,265.15,,20.731,74.251,378.81000000000006,21.2,1236.0
2000-11-09,14.46,481.01,69.67,26.5,142.74,61.78,85.18,,5.642,29.132,338.27,7.95,791.0
2000-11-27,15.14,538.13,73.33,29.45,136.33,56.45,83.89,,6.207,28.102,401.79999999999995,9.48,828.0
