,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Borgharen"
2018-02-03,50.17,708.35,56.59,68.0,120.58,74.08,137.35,99.45,10.737,48.759,587.77,13.7,974.87
2018-12-25,55.76,527.67,63.83,85.8,145.46,75.28,123.51,64.73,9.431,40.75,382.2099999999999,,806.05
2019-02-11,71.26,558.91,151.82,116.2,168.23,133.75,254.67,140.02,26.219,51.486,390.67999999999995,,1191.43
2019-03-16,141.13,660.01,139.71,203.12,153.53,178.27,411.3,196.8,30.304,126.304,506.48,,1540.34
2019-12-15,42.34,578.78,95.24,81.74,165.02,107.92,195.83,105.15,8.499,38.169,413.76,,1015.32
2019-12-25,29.89,538.94,82.09,67.04,145.54,89.84,161.0,86.95,7.436,42.943,393.4000000000001,,864.85
2020-02-05,78.11,806.88,216.76,138.74,250.6,195.16,337.7,181.22,18.697,48.945,556.28,,1612.785625
2020-03-11,82.46,741.66,137.21,127.55,147.11,163.79,295.4,176.7,26.734,111.027,594.55,,1436.850416666667
2020-12-24,39.73,704.06,144.21,105.33,214.54,140.57,244.29,153.62,7.04,24.466,489.52,,1235.5843055555556
2021-01-30,114.04,742.93,169.29,206.77,173.16,227.18,419.23,198.71,19.643,95.34,569.77,,1736.2472222222225
2021-07-18,400.0,773.25,627.12,661.07,147.54,542.17,1093.29,306.42,54.434,270.0,625.71,,3179.44
